;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;SKU;#;DENOMINACION;UN;RUBRO;(!);OBS;ACTIVO;CODIGO SAP;
;581;R;RASTRILLO DE JARDINERO CON CABO REFORZADO;UN;MAQ&HERR;;;;;
;582;R;RECARGA DE GAS NATURAL 10 KG;UN;CONSUMIBLE;;;;;
;583;R;RECIPIENTE PARA RESIDUOS 100 LITROS ALTO 70 CM  DIAMETRO 54 CM  MATERIAL: PVC;UN;LIMPIEZA;;;;;
;584;R;RECIPIENTE PARA RESIDUOS 20 LITROS;UN;LIMPIEZA;;;;;
;585;R;RECIPIENTE SOBRE RUEDAS PARA AGUA NO POTABLE;UN;MAQ&HERR;;;;;
;586;R;RED DE CONTENCIÓN PARA CABINA/CAJA PICKUP;UN;MAQ&HERR;;;;;
;587;R;REFLECTOR LED 50W 220V;UN;ELECTRICIDAD;;;;;
;588;R;REGLA TÉCNICA DE 30 CM;UN;MAQ&HERR;;;;;
;589;R;"REGUFILTRO PARKER 1/4""";UN;REPUESTO;;;;;
;590;R;"REGULADOR S07 1/2"" PARKER CODIGO AP07R321AC1";UN;REPUESTO;;;;;
;591;R;REMACHADORA TIPO FUELLE;UN;MAQ&HERR;;;;;
;592;R;REPELENTE PARA MOSQUITOS OFF O SIMILAR AEROS;UN;CONSUMIBLE;;;;;
;593;R;REPUESTO MANGA DE VIENTO TELA DIAMETRO: ;UN;REPUESTO;;;;;
;594;R;REPUESTO PROTECTOR FACIAL 18 CM X 2O CM;UN;EPP;;;;;
;595;R;REPUESTO PROTECTOR FACIAL 20 CM X 4O CM;UN;EPP;;;;;
;596;R;REPUESTO PROTECTOR FACIAL TIPO BURBUJA;UN;EPP;;;;;
;597;R;RESMA DE PAPEL A3 X 500 HOJAS;UN;LIBRERÍA;;;;;
;598;R;RESMA DE PAPEL A4 X 500 HOJAS;UN;LIBRERÍA;;;;;
;599;R;"REVESTIMIENTO POLYKEN 905-30 -6""X 15 MTS";CAJA;MATERIAL;;;;;
;600;R;ROCIADOR PULVERIZADOR GENERICO 500 ML;UN;CONSUMIBLE;;;;;
;601;R;RODILLERA PARA SOLDADOR;UN;MAQ&HERR;;;;;
;602;R;RODILLO DE LANA PELO CORTO CON MANGO 10 CM;UN;CONSUMIBLE;;;;;
;603;R;RODILLO DE LANA PELO CORTO CON MANGO 12 CM;UN;CONSUMIBLE;;;;;
;604;R;RODILLO DE LANA PELO CORTO CON MANGO 25 CM;UN;CONSUMIBLE;;;;;
;605;R;RODILLO PARA PINTURA SINTETICA 12 CM;UN;MAQ&HERR;;;;;
;606;R;RODILLO PARA PINTURA SINTETICA 22 CM;UN;MAQ&HERR;;;;;
;607;R;RODILLO PARA PINTURA SINTETICA 8 CM;UN;MAQ&HERR;;;;;
;608;R;RODILLO PELO LARGO 18 CM;UN;CONSUMIBLE;;;;;
;609;R;ROLLO DE COCINA;UN;LIMPIEZA;;;;;
;610;R;ROLLO PAPEL PARA COCINA;UN;LIMPIEZA;;;;;
;611;R;"ROLLO PTFE 5/8"" X 25 MT";UN;CONSUMIBLE;;;;;
;612;S;SABANA DESCARTABLE PARA QUEMADOS;UN;BOTIQUIN;;;;;
;613;S;SAL FINA DE COCINA PAQUETE DE 500 GR;UN;COMESTIBLES;;;;;
;614;S;SECADOR DE PISO;UN;LIMPIEZA;;;;;
;615;S;SELLADOR FASTIX TRANSPARENTE 290 GR;UN;CONSUMIBLE;;;;;
;616;S;SELLADOR PARA LLANTAS;LT;CONSUMIBLE;;;;;
;617;S;SEMIMASCARA 3M CON DOS FILTROS CLASE 6003;UN;EPP;;;;;
;618;S;SEPARADOR ALFABETICO OCICIO AMARILLO;UN;LIBRERÍA;;;;;
;619;S;SEPARADOR AMARILLO TAMAÑO CARTA (GENERICO);UN;LIBRERÍA;;;;;
;620;S;SEPARADORES MULTICOLOR X 5;UN;LIBRERÍA;;;;;
;621;S;SERVICIO DE VACIADO DE AGUAS GRISES;UN;SERVICIOS;;;;;
;622;S;SERVICIO MANTENIMIENTO GENERADOR;UN;SERVICIOS;;;;;
;623;S;SILICONA PARA TABLERO VEHÍCULOS;UN;LIMPIEZA;;;;;
;624;S;SILICONA TIPO:AEROSOL USO ESPECIFICO:PARA GOMA PLASTICO Y CUERO;UN;LIMPIEZA;;;;;
;625;S;SOBRE OFICIO BLANCO;UN;LIBRERÍA;;;;;
;626;S;SOBRE PAPEL MADERA A4 X 100 UN;UN;LIBRERÍA;;;;;
;627;S;SOBRE PAPEL MADERA OFICIO;UN;LIBRERÍA;;;;;
;628;S;SOGA DE NYLON 6 MM;MT;CONSUMIBLE;;;;;
;629;S;SOLUCIÓN OFTÁLMICA ESTÉRIL;ML;BOTIQUIN;;;;;
;630;S;SOLUCION PARA BAÑO QUIMICO;LT;LIMPIEZA;;;;;
;631;S;SOMBRILLA PARA SOL;UN;MAQ&HERR;;;;;
;632;S;SOPLON BOCA ANCHA CON MANGO CORTADOR COMPLETO;UN;MAQ&HERR;;;;;
;633;S;SOPORTE PARA EXTINTOR 10 KG;UN;REPUESTO;;;;;
;634;S;SORDINA TIPO COPA PARA CASCO 3M;UN;EPP;;;;;
;635;S;SORDINA TIPO COPA PARA CASCO LIBUS;UN;EPP;;;;;
;636;S;SORDINA TIPO COPA PARA CASCO MSA;UN;EPP;;;;;
;637;T;TABLA MADERA PINO 0 25mt x 2 40 mt;UN;MATERIAL;;;;;
;638;T;TABLA PVC COCINA;UN;COCINA;;;;;
;639;T;TABLERO PARA FILTROS;UN;MAQ&HERR;;;;;
;640;T;TABLON ARMADO DE PINO ABULONADO 0 45X2 40 PARA EXCAVACION;UN;MAQ&HERR;;;;;
;641;T;TACO DE MADERA DURA 10X10X100 CM;UN;CONSUMIBLE;;;;;
;642;T;"TACO DE MADERA PINO 3"" x 3"" x 0 40 mt";UN;MATERIAL;;;;;
;643;T;TALONARIO DE REMITOS PECOM;UN;LIBRERÍA;;;;;
;644;T;TAMBOR PARA CERRADURA JAQUE;UN;MAQ&HERR;;;;;
;645;T;TAPA PARA TOLVA DE ARENADO CORBLAST;UN;MAQ&HERR;;;;;
;646;T;TARJETA TICKET CAR / YPF RUTA;UN;MAQ&HERR;;;;;
;647;T;TAZA PLASTICA MEDIANA;UN;VAJILLA;;;NO;;
;648;T;TAZAS PORCELANA;UN;VAJILLA;;;;;
;649;T;TE SAQUITO x 100 un;UN;COMESTIBLES;;;;;
;650;T;TE SAQUITO x 50 un;UN;COMESTIBLES;;;;;
;651;T;TECLADO DELL;UN;INFORMATICA;;;;;
;652;T;"TENAZA DE ARMADOR 12""";UN;MAQ&HERR;;;;;
;653;T;TENEDOR DE MADERA;UN;VAJILLA;;;;;
;654;T;TENEDOR PARA COCINA;UN;MAQ&HERR;;;;;
;655;T;TENEDOR TRAMONTINA MANGO DE MADERA;UN;COCINA;;;;;
;656;T;TENSIÓMETRO DIGITAL;UN;MAQ&HERR;;;;;
;657;T;TERMINAL COMPR CUEST 35mm2;UN;MAQ&HERR;;;;;
;658;T;"TERMINAL CU 35mm2 1/2"" LCT SCC 35/2";UN;CONSUMIBLE;;;;;
;659;T;"TERMINAL MANGUERA PUSH-LOCK 1/4"" HG 1/4""";UN;REPUESTO;;;;;
;660;T;"TERMINAL MANGUERA PUSH-LOCK 1/4"" MF 1/4""";UN;REPUESTO;;;;;
;661;T;"TERMINAL MANGUERA PUSH-LOCK 1/4"" MF 3/8""";UN;REPUESTO;;;;;
;662;T;TERMINAL P/CABLE 4MM2 OJAL CERRADO 3/8;UN;CONSUMIBLE;;;;;
;663;T;TERMINALES PARA CABLE DE SOLDADORA;UN;MAQ&HERR;;;;;
;664;T;TERMO PARA AGUA CALIENTE/FRIA 3 LT;UN;MAQ&HERR;;;;;
;665;T;TERMO PARA AGUA CALIENTE/FRIA 5 LT;UN;MAQ&HERR;;;;;
;666;T;TERMO PORTA ELECTRODO;UN;MAQ&HERR;;;;;
;667;T;TERMÓMETRO INFRARROJO;UN;MAQ&HERR;;;;;
;668;T;TINTA PARA IMPRESORA “EPSON” 544 “BK” NEGRO;UN;LIBRERÍA;;;;;
;669;T;TOMA DE EMPOTRAR 2P+T 16A 410-1663-AR SCAME;UN;MAQ&HERR;;;;;
;670;T;TOMA HEMBRA 7 PUNTOS PARA CAMION;UN;REPUESTO;;;;;
;671;T;TONER FOTOCOPIADORA;UN;LIBRERÍA;;;;;
;672;T;TONER PARA IMPRESORA;UN;LIBRERÍA;;;;;
;673;T;"TORNILLO 1 1/2"" CON TUERCA AUTOBLOCANTE";UN;CONSUMIBLE;;;;;
;674;T;"TORNILLO AUTOPERFORANTE DE 1/2""";UN;CONSUMIBLE;;;;;
;675;T;TRANSPORTE DE PERSONAL - ADICIONAL RIO COLORADO;UN;TRANSPORTE;;;;;
;676;T;TRAPO DE PISO;UN;LIMPIEZA;;;;;
;677;T;TRAPO REJILLA;UN;LIMPIEZA;;;;;
;678;T;TRAPO STOKINETTE CORTADO X 10 KG;UN;CONSUMIBLE;X;costo elevado;;;
;679;V;"VALVULA DE SEGURIDAD PARA AIRE DIAM 1/2""";UN;MAQ&HERR;;;;;
;680;V;"VALVULA DE SEGURIDAD PARA AIRE DIAM 1/4""";UN;MAQ&HERR;;;;;
;681;V;"VALVULA ESFERICA  Ø 2"" MOD.F46 PASO TOTAL";UN;MATERIAL;;;;;
;682;V;"VALVULA ESFÉRICA HH 1/2"" PVC";UN;REPUESTO;;;;;
;683;V;VALVULA REGULADORA P/GAS ACETILENO;UN;MAQ&HERR;;;;;
;684;V;VALVULA REGULADORA P/GAS BUTANO/PROPANO;UN;MAQ&HERR;;;;;
;685;V;VASELINA SOLIDA PURA;KG;CONSUMIBLE;;;;;
;686;V;VASO ACERO INOXIDABLE;UN;VAJILLA;;;;;
;687;V;VASOS CHICOS;UN;VAJILLA;;;;;
;688;V;VASOS CHICOS TIPO JARRO;UN;VAJILLA;;;;;
;689;V;VENDA TIPO CAMBRIC DE 10 CM;UN;BOTIQUIN;;;;;
;690;V;VERIFICACIÓN TÉCNICA VEHICULAR INTERNO ####;HS;EQUIPOS;;;;;
;691;V;VIDRIO CRISTAL INCOLORO 50x105MM;UN;CONSUMIBLE;;;;;
;692;V;VIDRIO CRISTAL TONALIZADO 50x105MM;UN;CONSUMIBLE;;;;;
;693;V;VIDRIO LAMINADO 150mm X 100mm X 6mm;UN;CONSUMIBLE;;;;;
;694;V;VIDRIO LAMINADO INCOLORO PARA ESCAFANDRA DE ARENAR DE 130 X 60;UN;CONSUMIBLE;;;;;
;695;V;VIDRIO LAMINADO INCOLORO PARA MASCARA DE ARENAR DE 135 X 90 X 6 (mm);UN;CONSUMIBLE;;;;;
;696;V;VIDRIO LAMINADO INCOLORO PARA MASCARA DE ARENAR DE 138 X 185 X 6 (mm);UN;CONSUMIBLE;;;;;
;697;V;VIDRIO LAMINADO INCOLORO PARA MASCARA DE ARENAR DE 150 X 90 X 6 (mm);UN;CONSUMIBLE;;;;;
;698;V;VIDRIO LAMINADO INCOLORO PARA MASCARA DE ARENAR DE 170 X 145 X 6 (mm);UN;CONSUMIBLE;;;;;
;699;V;VIDRIO LAMINADO INCOLORO PARA MASCARA DE SOLDAR;UN;CONSUMIBLE;;;;;
;700;V;VIDRIO PARA ESCAFANDRA DE 95 X 155 X 3 mm;UN;CONSUMIBLE;;;;;
;701;V;"VISAGRA TIPO LIBRO 4""";UN;CONSUMIBLE;;;;;
;702;V;VISOR EXTERIOR BLASTING AP09004;UN;REPUESTO;;;;;
;703;V;VISOR EXTERIOR POWERBLAST P/CASCO CÓDIGO: TSP0006;UN;CONSUMIBLE;;;;;
;704;V;VISOR INTERIOR BLASTING CODIGO AP09003;UN;REPUESTO;;;;;
;705;W;WD40 LUBRICANTE MULTIUSO 290GR/432 CM3;UN;CONSUMIBLE;X;costo elevado;;;
;706;Y;YERBA MATE PLAYADITO X 1KG;UN;COMESTIBLES;;;;;
;707;F;FIBRON DE PINTURA AMARILLO TRAZO FINO;UN;LIBRERÍA;;;;;
;708;F;FIBRON DE PINTURA AZUL TRAZO FINO;UN;LIBRERÍA;;;;;
;709;F;FIBRON DE PINTURA BLANCO TRAZO FINO;UN;LIBRERÍA;;;;;
;710;F;FIBRON DE PINTURA NEGRO TRAZO FINO;UN;LIBRERÍA;;;;;
;711;F;FIBRON DE PINTURA ROJO TRAZO FINO;UN;LIBRERÍA;;;;;
